status,cz_title,en_title,year,episode_count,categories,sample_video_id,sample_url,sample_title,reason,closest_db_match
in_db,Star trek: Discovery - Údolím stínů,,,1,serialy-cz-sk,37996,https://online.sktorrent.eu/video/37996/star-trek-discovery-Údolím-stínů-s02e12,Star trek: Discovery - Údolím stínů (S02E12),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Nekonečná věčnost,,,1,serialy-cz-sk,37995,https://online.sktorrent.eu/video/37995/star-trek-discovery-nekonečná-věčnost-s02e11,Star trek: Discovery - Nekonečná věčnost (S02E11),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Rudý anděl,,,1,serialy-cz-sk,37994,https://online.sktorrent.eu/video/37994/star-trek-discovery-rudý-anděl-s02e10,Star trek: Discovery - Rudý anděl (S02E10),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Projekt Daidalos,,,1,serialy-cz-sk,37993,https://online.sktorrent.eu/video/37993/star-trek-discovery-projekt-daidalos-s02e09,Star trek: Discovery - Projekt Daidalos (S02E09),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Jestli paměť stále slouží,,,1,serialy-cz-sk,37992,https://online.sktorrent.eu/video/37992/star-trek-discovery-jestli-paměť-stále-slouží-s02e08,Star trek: Discovery - Jestli paměť stále slouží (S02E08),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Zvuk hromu,,,1,serialy-cz-sk,37991,https://online.sktorrent.eu/video/37991/star-trek-discovery-zvuk-hromu-s02e06,Star trek: Discovery - Zvuk hromu (S02E06),hard:1/1 eps already linked,
in_db,Star trek: Discovery -  Světlo a stíny,,,1,serialy-cz-sk,37990,https://online.sktorrent.eu/video/37990/star-trek-discovery-světlo-a-stíny-s02e07,Star trek: Discovery -  Světlo a stíny (S02E07),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Nedokonalí světci,,,1,serialy-cz-sk,37989,https://online.sktorrent.eu/video/37989/star-trek-discovery-nedokonalí-světci-s02e05,Star trek: Discovery - Nedokonalí světci (S02E05),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Obolus pro Chárona,,,1,serialy-cz-sk,37988,https://online.sktorrent.eu/video/37988/star-trek-discovery-obolus-pro-chárona-s02e04,Star trek: Discovery - Obolus pro Chárona (S02E04),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Světelný bod,,,1,serialy-cz-sk,37987,https://online.sktorrent.eu/video/37987/star-trek-discovery-světelný-bod-s02e03,Star trek: Discovery - Světelný bod (S02E03),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Bratr,,,1,serialy-cz-sk,37986,https://online.sktorrent.eu/video/37986/star-trek-discovery-bratr-s02e01,Star trek: Discovery - Bratr (S02E01),hard:1/1 eps already linked,
in_db,Star trek: Discovery - Nový Ráj,,,1,serialy-cz-sk,37985,https://online.sktorrent.eu/video/37985/star-trek-discovery-nový-ráj-s02e02,Star trek: Discovery - Nový Ráj (S02E02),hard:1/1 eps already linked,
in_db,Škoda lásky -Polibek pro vítěze,,,1,serialy-cz-sk,37734,https://online.sktorrent.eu/video/37734/Škoda-lásky-polibek-pro-vítěze-s02e02,Škoda lásky -Polibek pro vítěze S02E02,hard:1/1 eps already linked,
in_db,Škoda lásky - Idyla na konci léta,,,1,serialy-cz-sk,37733,https://online.sktorrent.eu/video/37733/Škoda-lásky-idyla-na-konci-léta-s02e01,Škoda lásky - Idyla na konci léta S02E01,hard:1/1 eps already linked,
in_db,Škoda lásky - Dobrodružství,,,1,serialy-cz-sk,37658,https://online.sktorrent.eu/video/37658/Škoda-lásky-dobrodružství-s01e15,Škoda lásky - Dobrodružství S01E15,hard:1/1 eps already linked,
in_db,Škoda lásky - Situace v kuchyni,,,1,serialy-cz-sk,37657,https://online.sktorrent.eu/video/37657/Škoda-lásky-situace-v-kuchyni-s01e14,Škoda lásky - Situace v kuchyni S01E14,hard:1/1 eps already linked,
